movie name,release year,imdb
ინტერვალი,2022 წ,7.1
Sen Yaşamaya Bak,2022 წ,6.6
Lemonade Mouth,2011 წ,7.5
Archenemy,2020 წ,5.5
Blue Bayou,2021 წ,7.6
ყველა ძველი დანა,2022 წ,6.1
Cowspiracy: The Sustainability Secret,2014 წ,7.8
კივილი 5,2022 წ,6.4
შავი საიტი,2022 წ,6.0
ფანტასტიკური მხეცები: ნამდვილი ისტორია,2022 წ,6.9
მთვარეზე დაშვება,2022 წ,5.2
365 დღე: ეს დღე,2022 წ,6.0
პროექტი “ადამი”,2022 წ,6.7
მარადიულნი,2021 წ,6.4
მხსნელი რუბი,2022 წ,7.2
ახალი,2022 წ,6.7
გაძევება,2021 წ,4.5
ნდობა,2021 წ,5.3
სავანა,2013 წ,5.7
სამოთხის სამხრეთით,2021 წ,5.7
გაია,2021 წ,5.5
ყველაზე ცუდი ადამიანი სამყაროში,2021 წ,7.9
მფლობელები,2020 წ,4.9
სუპერნოვა,2020 წ,6.8
უკანასკნელი დუელი,2021 წ,7.4
მართე ჩემი მანქანა,2021 წ,7.6
კინგსმენი,2021 წ,6.3
მატრიცა 4: აღდგომა,2021 წ,5.7
"მინდა, რომ დაბრუნდე",2022 წ,6.6
ცა არის ყველგან,2022 წ,5.6
ეიფელი,2021 წ,6.2
ტროლებზე მონადირეები: ტიტანების აჯანყება,2021 წ,6.7
სიყვარულის წიგნი,2022 წ,5.5
ტროლების დღესასწაული,2021 წ,6.2
ისინი ვინც მიდიან,2022 წ,6.1
რეი დონოვანი: ფილმი,2022 წ,6.9
კიმი,2022 წ,6.3
გადარჩენის ბულვარი,2011 წ,5.3
ტეხასური ჟლეტა ხერხით,2022 წ,4.8
უცხოთა სიკეთე,2019 წ,6.4
როგორ მოვათვინიეროთ დრაკონი: სახლში დაბრუნება,2019 წ,7.3
ჩაკეტილი,2022 წ,6.2
იყო რიკარდო,2021 წ,6.5
შედეგი,2008 წ,5.7
დიანა,2013 წ,5.5
მოვალეები,2016 წ,5.8
უოლტერ მიტის საიდუმლო ცხოვრება,2013 წ,7.3
გახსოვდეს კვირა,2013 წ,6.9
სხვა ქალი,2014 წ,6.0
ქამელეონი,2001 წ,7.0
გამოსყიდვა სიყვარულით,2022 წ,6.6
სუპერჰოსტი,2021 წ,5.6
ჩასუნთქვა,2021 წ,5.9
ჩემი ფანჯრიდან,2022 წ,5.4
მოჩვენებებზე მონადირეები: სიცოცხლე სიკვდილის შემდეგ,2021 წ,7.2
სიგიჟის ზღვარზე,2018 წ,5.6
სახლემძღვანელო მშობლებისთვის,2012 წ,6.0
იმიტატორი,1995 წ,6.6
ერთი მშვენიერი დღე,1996 წ,6.5
მიუნხენი: ომის ზღვარზე,2022 წ,6.8
ვერცხლის ციგურები,2020 წ,7.1
ტყვეები,2013 წ,8.1
007: სიკვდილის დრო არ არის,2021 წ,7.3
სასტუმრო ტრანსილვანია 4: ტრანსფორმანია,2021 წ,6.0
სასტიკი ჯოჯოხეთი,2021 წ,6.5
წყალქვეშა სახლი,2021 წ,5.4
ვენომი 2,2021 წ,6.0
ძვირფასი ბარი,2021 წ,6.7
ბოლო გამოხედვა,2021 წ,5.6
შენს ძებნაში,2021 წ,6.3
ამერიკული ალყა,2022 წ,3.4
ძაღლის ძალა,2021 წ,6.9
დახმარება,2021 წ,7.7
ჩვენი კანაფი,2019 წ,1.1
ცხოველებთან მოპყრობა,2013 წ,8.1
შობის მეთორმეტე დღეს,2020 წ,7.2
დიუნი,2021 წ,8.1
ძალიან წააგავს შობას,2019 წ,6.0
მიესალმეთ გვილბებს,2016 წ,5.2
საშობაო სასწაული დეიზისთვის,2021 წ,6.8
მორგის კოლექცია,2020 წ,6.4
საიდუმლო სანტა,2021 წ,5.5
ვუყვარვარ... არ ვუყვარვარ,2002 წ,7.1
საშობაო კალენდარი,2021 წ,6.4
არდადეგების მეგობრები,2021 წ,6.3
მოგონებები,2021 წ,5.8
ზემოთ არ აიხედო,2021 წ,7.2
გრგვინვა,2022 წ,5.9
ირმის რქები,2021 წ,5.9
მოულოდნელი შეხვედრა,2021 წ,5.8
წარმოიდგინე ეს,2009 წ,5.6
დაწყევლილები,2021 წ,6.4
ციხესიმაგრე,2021 წ,3.5
ეშმაკით შეპყრობილი,2012 წ,4.2
აპოსტაზია,2017 წ,6.9
ენერგია,2021 წ,5.5
შანგ-ჩი და ათი ბეჭდის ლეგენდა,2021 წ,7.4
სიძულვილის თამაში,2021 წ,6.3
კარგი ქურდი,2021 წ,3.7
უპატიებელი,2021 წ,7.1
წითელი ცირკულარი,2021 წ,6.3
მესამე კაცი,1949 წ,8.1
დედამიწის შეცვლის წელი,2021 წ,8.2
"შემდეგი გაჩერება, შობა",2021 წ,7.1
შობა ტაჰოში,2021 წ,6.3
წინა ღამით სოჰოში,2021 წ,7.1
ხორცის დასასრული,2017 წ,6.4
უკანასკნელი დაცემული ადამიანი,2021 წ,5.1
კლიფორდი - დიდი წითელი ძაღლი,2021 წ,6.0
მე გავიცანი გოგონა,2020 წ,6.1
ლუკა,2021 წ,7.5
საშიში,2021 წ,5.1
დახსნა,2021 წ,8.3
ჩუმი ღამე,2021 წ,5.7
კოცნა შობის წინ,2021 წ,7.2
სასახლე საშობაოდ,2021 წ,5.5
8 ბიტიანი შობა,2021 წ,6.7
ბიჭი სახელად შობა,2021 წ,6.7
ტემი ფეის თვალები,2021 წ,6.6
პრინცესას შეცვლა 3,2021 წ,5.5
